MaxCD,TN,TP,Precip
618491.5233,,,0.188393683
2158500,,,0.95169196
701070.1674,,,1.4038368
124.2934,,,0.426620534
7673.611111,,,-0.84230208
5311.214,,,-0.570042822
12890.78014,,,0.8034079
1616.709957,,,-0.696448906
382.321,,,0.796115241
860.441,,,-0.762082834
1194.297,,,-0.779099038
3939.6,,,-1.082959817
34053.47143,,,-1.780624166
3079.999,,,0.188393683
616.001,,,0.404742558
1776.923077,,,-1.189918811
30082.0915,,,-1.080528931
22885.05747,,,-1.491348704
219448.2768,,,-1.170471721
79974.4898,,,0.572473708
342017.6829,,,-0.69401802
165649.2721,,,0.769375493
435063.9447,,,-0.380433696
331181.9113,,,0.88119626
1959184.651,,,-0.4679456
605694.7475,,,2.63629612
895.668986,,,1.143731973
3895.888594,,,1.087821589
14186.667,,,0.657554726
480.4285714,,,-0.636743991
520.2242991,,,-0.849473713
1258.55,,,0.655049538
1980.187,,,1.348733414
675.087,,,-1.953201836
70699,,,0.0816042
115935.5844,,,0.42073854
29925,,,0.019943411
15481.984,,,0.550226197
15534.32395,,,0.235756173
20304.15842,,,1.453556756
5256.038647,,,-0.112627285
1006869.905,,,-1.336593946
268574.2574,,,0.901692694
72415.59267,,,0.389908145
63277.49113,,,-1.216355408
371566.4715,,,2.261313091
927482.6372,,,-1.136196382
1210355.765,,,-1.432168169
,,,0.895526615
,,,-0.584332321
,,,0.346745593
,,,-0.223616705
,,,0.318998238
,,,-0.716903017
,,,-1.253351881
,,,0.605720907
,,,-0.716903017
,,,1.20383056
,,,-0.951214015
,,,1.305570862
,,,0.124766753
,,,1.736480095
,,,-1.306719171
,,,0.507340267
,,,0.820016188
,,,-1.242027601
,,,0.66637371
,,,1.399544835
,,,-1.233941155
,,,-0.794577576
,,,-0.595111903
,,,-0.748754381
,,,0.868534866
,,,-0.010192292
,,,1.121910181
,,,1.661006597
,,,-1.212377299
,,,0.442648698
,,,0.113799884
,,,0.755324619
,,,-0.63015317
,,,-0.508856476
,,,1.739175577
,,,0.286310737
,,,0.528904124
,,,-1.298632725
,,,-1.702955037
,,,-0.506160994
,,,-1.155772175
,,,0.369870681
,,,-0.023669702
,,,-0.713713114
,,,0.66637371
,,,1.555043325
,,,-1.027994397
,,,0.601504027
,,,0.295651799
,,,-0.244087426
,,,0.496126368
,,,1.768368828
,,,-0.395728447
,,,-0.979160848
,,,-0.506246479
,,,0.280230678
,,,0.295651799
,,,-0.254368174
,,,0.843101585
,,,0.974181111
,,,-0.66559806
,,,0.190274141
,,,-0.45741293
,,,1.629578742
,,,-0.303201723
,,,-0.699010488
,,,2.282406186
,,,0.046343681
,,,-0.213245185
,,,-1.320995691
,,,-2.726887863
,,,-1.151363363
,,,-0.447132183
,,,-0.282640228
,,,0.619495334
,,,-0.035902297
,,,-0.166981823
,,,-0.075374377
,,,-1.423439947
,,,-0.244983934
,,,0.028153534
,,,-1.346344694
,,,-0.441026149
,,,0.435657016
,,,-0.189915896
,,,-1.178937858
,,,0.158114104
,,,0.464292395
,,,1.255069421
,,,-1.148099757
